"","x"
"1",0.0319879131898508
"2",0.0332032018224674
"3",0.0252962889010507
"4",0.0181080035757403
"5",0.0295429370795912
"6",0.0719465056277264
"7",0.0805594582170792
"8",0.0156715932824051
"9",0.0207797719012542
"10",0.0291910278676222
"11",0.0402186507999161
"12",0.0459236322238283
"13",0.0442007344961834
"14",0.0181297500998187
"15",0.0232459673298238
"16",0.020332274360525
"17",0.0978553862202022
"18",0.0138294193630546
"19",0.0260317811537784
"20",0.0305152723020716
"21",0.0335781699262462
"22",0.0531394952522077
"23",0.086394382077941
"24",0.0834603984700444
"25",0.0406093217347827
"26",0.0624604930238057
"27",0.00812406824250177
"28",0.0113370238435658
"29",0.0309125061889888
"30",0.0461394764987771
"31",0.021989577835244
"32",0.0621341663560111
"33",0.112105902530145
"34",0.077346348886514
"35",0.0237825676116035
"36",0.0301769964175969
"37",0.028442242142685
"38",0.0276921159942193
"39",0.0435179649327533
"40",0.103145768610859
"41",0.0525495096349991
"42",0.0484027304612899
"43",0.0272688191614517
"44",0.0225296278712764
"45",0.0389462933454353
"46",0.0341379866339929
"47",0.0248677128697637
"48",0.0285741308407685
"49",0.0396146973666426
"50",0.0547529989155935
"51",0.0241799838154805
"52",0.0324902078129977
"53",0.0305826780541052
"54",0.0201026164756129
"55",0.0319779627989931
"56",0.0349349732015473
"57",0.0322763260354684
"58",0.0164531876037909
"59",0.0349832300056691
"60",0.0698545387871184
"61",0.0162628466417268
"62",0.0217342708453754
"63",0.0161281116803284
"64",0.039364890024426
"65",0.06416773013627
"66",0.0635995241956864
"67",0.0323810214479894
"68",0.0222136794686683
"69",0.0256812534423568
"70",0.0464349110317987
"71",0.0277256001757992
"72",0.0393261852238403
"73",0.0307213874385201
"74",0.0208384052283987
"75",0.0475340968978162
"76",0.0465679908496064
"77",0.0441841588543005
"78",0.037753321881258
"79",0.019099114972195
"80",0.044782974827519
"81",0.0270644299931851
"82",0.0313534933553719
"83",0.011263985672717
"84",0.0334981471699286
