"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140"
"1",1.10741971207087e-08,0,6.58094380901049e-16,3.71638105839043e-07,1.64814609610326e-06,3.38792863394391e-06,5.56152169489196e-06,8.12577405299452e-06,1.10437409319532e-05,1.42929245288031e-05,1.78672233734932e-05,2.17771106545687e-05,2.61051029712633e-05,3.12299644790477e-05,3.83964852590098e-05,4.88864093844495e-05,6.26001614060217e-05,8.05886688617825e-05,0.000103210145599405,0.00013116440882612,0.000165696694829428,0.000206702847672312,0.000256700501465808,0.000317555603447806,0.000392818606785185,0.000485984092010925,0.00060440735172133,0.000756766106005794,0.000958863341260611,0.00122874763756002,0.0015909273374095,0.0021038112488184,0.00287598063667533,0.00408332653438556,0.00595754125444447,0.00874838463263118,0.0125417714484359,0.0172142637710988,0.0225492760816965,0.0283162207839495,0.0343255764950597,0.0404218483561728,0.0464879767283144,0.0524361991597032,0.0582081379294737,0.0637592418431752,0.0690643008332124,0.0741073680503435,0.0788844866887785,0.0833878767513333,0.0876162032234681,0.0915767561490777,0.0952786236817574,0.098728959832214,0.101932758443441,0.104901654103669,0.107643729425245,0.110168041412226,0.112486268510304,0.114610692720303,0.116553931659174,0.118328633616154,0.119947220258189,0.12142169570278,0.122763516462321,0.123983516004602,0.125091869904951,0.126098086622653,0.127011013439505,0.127838851754398,0.128589178836846,0.129268974409842,0.129884650802803,0.130442085506082,0.130946655049671,0.131403269276996,0.131816405266174,0.132190140333305,0.13252818371527,0.132833906664731,0.133110370797063,0.133360354610586,0.133586378162033,0.133790725922757,0.133975467871612,0.134142478900805,0.134293456623765,0.134429937681276,0.134553312645123,0.134664839618623,0.134765656631387,0.134856792922248,0.1349391791999,0.135013656965888,0.135080986979301,0.135141856937215,0.135196888439592,0.135246643302167,0.13529162927588,0.135332305226654,0.135369085824873,0.135402345789703,0.135432423729526,0.135459625616106,0.135484227926795,0.135506480485974,0.135526609034123,0.135544817550301,0.135561290351436,0.135576193989684,0.135589678967112,0.135601881285153,0.135612923844667,0.135622917710933,0.13563196325652,0.135640151193808,0.135647563507753,0.135654274298519,0.135660350542662,0.13566585278073,0.135670835738366,0.135675348887366,0.135679436952468,0.135683140369132,0.13568649569705,0.135689535993672,0.13569229115161,0.13569478820342,0.135697051596929,0.135699103443938,0.135700963744906,0.135702650591918,0.135704180352053,0.135705567833048,0.135706826432965,0.135707968275421,0.135709004331773,0.135709944531516,0.13571079786205,0.135711572458823
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1.10741971207087e-08,0,8.36851452128554e-283,2.18633983894423e-273,1.33637383731949e-264,4.14207846955864e-256,1.62233198457659e-247,4.91165738595662e-239,1.40513613576192e-230,5.59142003986661e-222,1.56989304156536e-213,9.00420158344566e-205,3.66457308539064e-196,7.61433130649064e-188,7.42393007094461e-180,1.04763345407178e-171,4.24111239709885e-163,3.13015090877503e-154,2.76828810929991e-146,7.0903908405779e-138,1.08755410969175e-129,1.804688858277e-121,4.0686136910577e-113,3.51516284492901e-105,4.1607070295802e-97,3.11106356801208e-89,1.13494435805492e-81,5.21434124835928e-74,9.90567610107679e-67,5.63055901208978e-60,2.51120297300012e-53,1.12949826435699e-46,3.78437811586905e-40,1.04076784659669e-33,3.15724544205178e-28,5.32106203962874e-23,3.80276143799684e-18,7.91955550813379e-14,6.64954160412611e-10,7.59187329206737e-07,0.000541326384572205,0.00287107020630831,0.00792838784797375,0.0142842277626106,0.0215661897963346,0.0280859419047926,0.0354346062203126,0.0420897467324391,0.049785231076176,0.0549006197079775,0.0616995697846428,0.0674340120351278,0.0721649349436942,0.0775055848898536,0.0825327812704705,0.0866783600738745,0.0900000281223987,0.0922915247239863,0.0941492055667063,0.0956728416536041,0.0967322161743403,0.0977533161806482,0.0987943274683852,0.0995196577347509,0.100221909110268,0.100965115415065,0.101560375928251,0.102045740978868,0.102519323553981,0.10299870076752,0.103282951452182,0.103679173491612,0.103964085834632,0.104104041039928,0.104262691944762,0.104380051105637,0.104723639297041,0.10496641079128,0.105082745902667,0.105174421331809,0.105255110521221,0.105335098772508,0.105444503007,0.105545123736577,0.105632539245815,0.105687216225086,0.105727250554976,0.105768939409174,0.105831777618655,0.105870246160976,0.105895104808094,0.105919608555506,0.105981464418076,0.106043959474662,0.106097487921372,0.106127053512959,0.106153860032702,0.106178084285394,0.106199826977616,0.106219341401989,0.10623685512749,0.106252572593027,0.106266677442334,0.106279334625562,0.106290692290499,0.106299118822583,0.106306524517824,0.106313168743332,0.106319129613257,0.106324477253084,0.106329274613235,0.106333578200301,0.106337438734145,0.106340901738363,0.106344008070788,0.106346794400097,0.106349293633944,0.10635153530354,0.106353545909061,0.106355349229868,0.10635696660309,0.106358417173795,0.106359718119618,0.10636088485245,0.106361931199518,0.10636286956595,0.106363711080717,0.106364465727633,0.106365142462955,0.106365749320927,0.106366293508521,0.106366781490458,0.106367219065519,0.106367611435026,0.106367963264291,0.10636827873777,0.106368561608542,0.106368815242714,0.10636904265926,0.106369246565769
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1.10741971207087e-08,0,5.99947540111866e-25,3.38801506899671e-16,1.9500391380248e-15,6.15947529955906e-15,1.66040160647719e-14,4.21037952787182e-14,1.11313128547043e-13,3.63959480930207e-13,1.34618333124748e-12,5.93084682468434e-12,1.66690358505256e-11,1.2746387296307e-10,4.86211571117762e-10,1.31735638724884e-09,3.74232383916885e-09,9.65562005518867e-09,2.7335874089467e-08,8.04791093729008e-08,2.64362118806545e-07,1.00554909523755e-06,3.78822413053767e-06,1.38023034318915e-05,4.76147682944012e-05,0.000220892172559652,0.000723529629090241,0.00164220808724017,0.00419370517262238,0.00674052619836242,0.0098519940453648,0.0142703058412135,0.0184765490951159,0.0236667105024874,0.0293295869904166,0.0347869728826976,0.0405014045759879,0.0454883726133449,0.0511558198339795,0.0570669744347647,0.0623164314709563,0.0673986225117325,0.0717466502543302,0.0763410547838344,0.0806920361686817,0.0849624332928293,0.0891295329594177,0.0934246641780452,0.0973052467751037,0.101231307617345,0.104997378839889,0.108581975553389,0.112255502655205,0.115617135442884,0.118776090530343,0.121999509449154,0.125161165931304,0.127876629612177,0.130871261038395,0.134420027695901,0.137797989546437,0.140423032664834,0.14281639689005,0.145796045918815,0.149009824447499,0.151660944551558,0.153642061794766,0.156059948394993,0.158317247998649,0.159816607140726,0.161475166035378,0.163470490116754,0.16474097950599,0.165952589563316,0.166901118744045,0.167955661341718,0.168759436832718,0.169324029287874,0.169860184278462,0.170559957555108,0.171056214019265,0.171490860154242,0.171950015860325,0.17244517568468,0.173096424303431,0.173273345306065,0.173419801920612,0.173625366103281,0.173928226541551,0.174313585704724,0.174727071405857,0.174953043389933,0.175217028676317,0.175454292801272,0.175667515254375,0.175862000279691,0.176040154358433,0.176198640124619,0.176338486308394,0.176448465659429,0.176528308199901,0.176599005020373,0.176661568037045,0.176717734090788,0.176768154398497,0.176813414294167,0.176854039833113,0.176890503743556,0.176923230788584,0.176952602595624,0.176978962005274,0.177002616986442,0.177023844160311,0.177042891971582,0.177059983541795,0.177075319236152,0.177089078972235,0.177101424296274,0.177112500250085,0.17712243704958,0.177131351593656,0.177139348820464,0.177146522926342,0.177152958461208,0.177158731312839,0.177163909591221,0.177168554423035,0.177172720665362,0.177176457546764,0.17717980924308,0.177182815394554,0.177185511570241,0.177187929685027,0.177190098374094,0.177192043329126,0.177193787600172,0.177195351866643,0.17719675468059,0.17719801268509,0.177199140810277
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
